wind_farm,fac_id,deliv,prov
13,"(4, 3) AB",0.0,AB
14,"(1, 1) AB",0.0,AB
14,"(1, 2) AB",0.0,AB
14,"(1, 3) AB",0.0,AB
14,"(2, 1) AB",0.0,AB
14,"(2, 2) AB",0.0,AB
14,"(2, 3) AB",0.0,AB
14,"(3, 1) AB",0.0,AB
14,"(3, 2) AB",0.0,AB
14,"(3, 3) AB",0.0,AB
14,"(4, 1) AB",0.0,AB
14,"(4, 2) AB",0.0,AB
14,"(4, 3) AB",1.0,AB
15,"(1, 1) AB",0.0,AB
15,"(1, 2) AB",0.0,AB
15,"(1, 3) AB",0.0,AB
15,"(2, 1) AB",0.0,AB
15,"(2, 2) AB",0.0,AB
15,"(2, 3) AB",0.0,AB
15,"(3, 1) AB",0.0,AB
15,"(3, 2) AB",0.0,AB
15,"(3, 3) AB",0.0,AB
15,"(4, 1) AB",0.0,AB
15,"(4, 2) AB",0.0,AB
15,"(4, 3) AB",1.0,AB
16,"(1, 1) AB",0.0,AB
16,"(1, 2) AB",0.0,AB
16,"(1, 3) AB",0.0,AB
16,"(2, 1) AB",0.0,AB
16,"(2, 2) AB",0.0,AB
16,"(2, 3) AB",0.0,AB
16,"(3, 1) AB",0.0,AB
16,"(3, 2) AB",0.0,AB
16,"(3, 3) AB",0.0,AB
16,"(4, 1) AB",0.0,AB
16,"(4, 2) AB",0.0,AB
16,"(4, 3) AB",1.0,AB
17,"(1, 1) AB",0.0,AB
17,"(1, 2) AB",0.0,AB
17,"(1, 3) AB",0.0,AB
17,"(2, 1) AB",0.0,AB
17,"(2, 2) AB",0.0,AB
17,"(2, 3) AB",0.0,AB
17,"(3, 1) AB",0.0,AB
17,"(3, 2) AB",0.0,AB
17,"(3, 3) AB",0.0,AB
17,"(4, 1) AB",0.0,AB
17,"(4, 2) AB",0.0,AB
17,"(4, 3) AB",1.0,AB
18,"(1, 1) AB",0.0,AB
18,"(1, 2) AB",0.0,AB
18,"(1, 3) AB",0.0,AB
18,"(2, 1) AB",0.0,AB
18,"(2, 2) AB",0.0,AB
18,"(2, 3) AB",1.0,AB
